Description	Resource	Path	Location	Type
The method addFailedListener(ComponentEventListener<FailedEvent>) from the type Upload has been deprecated since version 24.8 and marked for removal	CDialogAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 105	Java Problem
The method addSucceededListener(ComponentEventListener<SucceededEvent>) from the type Upload has been deprecated since version 24.8 and marked for removal	CDialogAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 92	Java Problem
The type MemoryBuffer has been deprecated since version 24.8 and marked for removal	CDialogAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 41	Java Problem
The type MemoryBuffer has been deprecated since version 24.8 and marked for removal	CDialogAttachment.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 86	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CCSVExporter.java	/derbent/src/main/java/tech/derbent/api/reporting	line 70	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CCSVExporter.java	/derbent/src/main/java/tech/derbent/api/reporting	line 82	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CComponentListAttachments.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 300	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CComponentListAttachments.java	/derbent/src/main/java/tech/derbent/app/attachments/view	line 300	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CPageService.java	/derbent/src/main/java/tech/derbent/api/services/pageservice	line 278	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CReportHelper.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 126	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CReportHelper.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 145	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CReportService.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 41	Java Problem
The type StreamResource has been deprecated since version 24.8 and marked for removal	CReportService.java	/derbent/src/main/java/tech/derbent/api/reports/service	line 41	Java Problem
Type safety: The expression of type Class needs unchecked conversion to conform to Class<CBabNode>	CBabNode.java	/derbent/src/main/java/tech/derbent/bab/node/domain	line 73	Java Problem
Statement unnecessarily nested within else clause. The corresponding then clause does not complete normally	CBaseUITest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 1819	Java Problem
Statement unnecessarily nested within else clause. The corresponding then clause does not complete normally	CBaseUITest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 1927	Java Problem
Statement unnecessarily nested within else clause. The corresponding then clause does not complete normally	CBaseUITest.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation	line 2178	Java Problem
Statement unnecessarily nested within else clause. The corresponding then clause does not complete normally	CCrudToolbarTester.java	/derbent/src/test/java/automated_tests/tech/derbent/ui/automation/components	line 130	Java Problem
The expression of type EntityClass is already an instance of type ICopyable	CDialogClone.java	/derbent/src/main/java/tech/derbent/api/ui/dialogs	line 214	Java Problem
